DateTime,S&P 500 Index,Open-to-Close Return,DateTime,Navigator 1,,,
2017-03-27 00:00:00,6,226,0,"2,12E+016",2017-03-27 00:00:00,,
2017-04-03 00:00:00,7,264,0,"4,8E+016",2017-04-03 00:00:00,,
2017-04-10 00:00:00,6,7075,0,"4,25E+016",2017-04-10 00:00:00,,
2017-04-17 00:00:00,5,526,0,"1,6E+016",2017-04-17 00:00:00,,
2017-04-24 00:00:00,5,61999999999999,0,3400000000000001,2017-04-24 00:00:00,,
2017-05-01 00:00:00,4,41,0,5799999999999998,2017-05-01 00:00:00,,
2017-05-08 00:00:00,4,273999999999999,0,3399999999999999,2017-05-08 00:00:00,,
2017-05-15 00:00:00,6,944,0,1400000000000003,2017-05-15 00:00:00,,
2017-05-22 00:00:00,3,49,0,115,2017-05-22 00:00:00,,
2017-05-29 00:00:00,4,377999999999999,0,14,2017-05-29 00:00:00,,
2017-06-05 00:00:00,6,108,0,"2,8E+016",2017-06-05 00:00:00,,
2017-06-12 00:00:00,4,9,0,172,2017-06-12 00:00:00,,
2017-06-19 00:00:00,5,272,0,168,2017-06-19 00:00:00,,
2017-06-26 00:00:00,6,824,0,292,2017-06-26 00:00:00,,
2017-07-03 00:00:00,5,1675,0,3249999999999999,2017-07-03 00:00:00,,
2017-07-10 00:00:00,4,529999999999999,0,152,2017-07-10 00:00:00,,
2017-07-17 00:00:00,3,5100000000000002,0,"1,38E+016",2017-07-17 00:00:00,,
2017-07-24 00:00:00,4,36,0,98,2017-07-24 00:00:00,,
2017-07-31 00:00:00,3,"9,38E+015",0,4,2017-07-31 00:00:00,,
2017-08-07 00:00:00,6,3,0,9000000000000004,2017-08-07 00:00:00,,
2017-08-14 00:00:00,6,604000000000001,0,3,2017-08-14 00:00:00,,
2017-08-21 00:00:00,5,566,0,3799999999999999,2017-08-21 00:00:00,,
2017-08-28 00:00:00,4,31,0,3725,2017-08-28 00:00:00,,
2017-09-04 00:00:00,5,15,0,3999999999999992,2017-09-04 00:00:00,,
2017-09-11 00:00:00,2,966,0,"1,32E+016",2017-09-11 00:00:00,,
2017-09-18 00:00:00,4,352,0,22,2017-09-18 00:00:00,,
2017-09-25 00:00:00,3,8160000000000003,0,"1,88E+016",2017-09-25 00:00:00,,
2017-10-02 00:00:00,2,8419999999999996,0,"1,14E+016",2017-10-02 00:00:00,,
2017-10-09 00:00:00,3,22,0,"2,2E+016",2017-10-09 00:00:00,,
